Carat Weight,Cut,Color,Clarity,Polish,Symmetry,Report,Price,dt
2.05,Very Good,H,VS2,VG,VG,GIA,19976,2009-07-11
1.01,Very Good,F,VS2,VG,VG,GIA,6257,2009-07-12
1.01,Very Good,E,SI1,EX,EX,GIA,5534,2009-07-13
0.86,Ideal,E,SI1,EX,EX,GIA,4228,2009-07-14
1.01,Good,G,SI1,VG,G,GIA,4905,2009-07-15
2.29,Very Good,F,VS1,EX,VG,GIA,34657,2009-07-16
1.28,Ideal,G,VVS2,ID,ID,AGSL,10958,2009-07-17
2.12,Ideal,F,VS1,EX,EX,GIA,33667,2009-07-18
0.9,Ideal,E,SI1,VG,VG,GIA,4921,2009-07-19
1.44,Ideal,D,SI1,G,G,GIA,10768,2009-07-20
2.28,Ideal,D,IF,VG,EX,GIA,73209,2009-07-21
1.01,Signature-Ideal,D,VVS2,ID,ID,AGSL,12996,2009-07-22
2.29,Ideal,G,VS2,VG,VG,GIA,27097,2009-07-23
0.8,Ideal,D,VS2,VG,EX,GIA,3817,2009-07-24
1.06,Signature-Ideal,G,VVS2,ID,ID,AGSL,9645,2009-07-25
1.62,Ideal,F,VS2,EX,EX,GIA,18281,2009-07-26
0.83,Ideal,E,SI1,EX,EX,GIA,4024,2009-07-27
1.58,Ideal,G,VVS2,VG,VG,GIA,16625,2009-07-28
0.91,Very Good,F,SI1,EX,VG,GIA,4546,2009-07-29
1.01,Fair,D,SI1,VG,G,GIA,5628,2009-07-30
1.13,Ideal,G,VVS1,EX,EX,GIA,9653,2009-07-31
2.0,Good,I,SI1,EX,VG,GIA,14321,2009-08-01
0.83,Very Good,H,VS2,VG,VG,GIA,3249,2009-08-02
0.92,Very Good,E,SI1,VG,VG,GIA,4286,2009-08-03
1.25,Ideal,G,VVS2,VG,VG,GIA,11089,2009-08-04
1.23,Signature-Ideal,G,VS1,EX,EX,GIA,10859,2009-08-05
1.51,Good,E,SI1,EX,EX,GIA,12487,2009-08-06
1.21,Signature-Ideal,E,VS1,EX,EX,GIA,12111,2009-08-07
1.02,Very Good,D,SI1,G,VG,GIA,6001,2009-08-08
0.75,Very Good,F,SI1,VG,VG,GIA,2734,2009-08-09
0.78,Very Good,I,VS1,VG,VG,GIA,2694,2009-08-10
2.02,Ideal,E,VS1,VG,G,GIA,32060,2009-08-11
0.9,Good,E,SI1,VG,G,GIA,4147,2009-08-12
1.01,Ideal,F,VS1,EX,EX,GIA,8860,2009-08-13
1.02,Ideal,G,VS2,EX,EX,GIA,6264,2009-08-14
1.14,Very Good,H,VS2,VG,G,GIA,5640,2009-08-15
1.5,Very Good,G,SI1,VG,VG,GIA,10019,2009-08-16
1.3,Very Good,H,SI1,VG,G,GIA,7018,2009-08-17
1.01,Very Good,D,IF,VG,VG,GIA,18187,2009-08-18
2.17,Ideal,G,VS1,EX,EX,GIA,30156,2009-08-19
0.9,Ideal,G,SI1,EX,EX,GIA,4260,2009-08-20
1.0,Good,H,SI1,VG,VG,GIA,4864,2009-08-21
2.24,Ideal,E,VS1,EX,EX,GIA,40445,2009-08-22
1.59,Ideal,H,VS1,EX,EX,GIA,13839,2009-08-23
1.02,Ideal,H,VS1,VG,VG,GIA,5835,2009-08-24
1.02,Very Good,H,SI1,VG,VG,GIA,4932,2009-08-25
2.1,Signature-Ideal,F,SI1,ID,ID,AGSL,26278,2009-08-26
0.91,Fair,F,SI1,VG,G,GIA,4036,2009-08-27
1.62,Very Good,F,SI1,EX,VG,GIA,12202,2009-08-28
1.1,Ideal,H,VS2,VG,VG,GIA,6387,2009-08-29
0.91,Very Good,F,SI1,VG,EX,GIA,4188,2009-08-30
1.2,Good,I,VS1,VG,VG,GIA,5818,2009-08-31
0.9,Very Good,E,SI1,EX,EX,GIA,4442,2009-09-01
1.04,Very Good,F,SI1,G,EX,GIA,5369,2009-09-02
1.66,Ideal,H,VS1,EX,EX,GIA,13330,2009-09-03
0.77,Very Good,D,VS1,EX,EX,GIA,3643,2009-09-04
1.63,Very Good,I,SI1,G,G,GIA,9199,2009-09-05
1.32,Ideal,E,SI1,VG,VG,GIA,8014,2009-09-06
1.71,Very Good,F,VS1,VG,VG,GIA,17768,2009-09-07
1.02,Ideal,E,SI1,VG,VG,GIA,5590,2009-09-08
1.04,Ideal,G,VS2,EX,EX,GIA,6809,2009-09-09
1.01,Ideal,F,VS2,EX,EX,GIA,7411,2009-09-10
1.2,Very Good,E,VS2,VG,EX,GIA,9320,2009-09-11
2.0,Good,I,VS2,VG,VG,GIA,15438,2009-09-12
1.01,Very Good,I,SI1,EX,EX,GIA,4133,2009-09-13
1.0,Very Good,E,VVS2,EX,VG,GIA,8638,2009-09-14
0.9,Ideal,I,SI1,VG,VG,GIA,3455,2009-09-15
1.38,Ideal,G,VVS1,EX,VG,GIA,12684,2009-09-16
1.0,Very Good,I,VS2,EX,VG,GIA,4739,2009-09-17
1.13,Very Good,F,VVS2,VG,VG,GIA,9947,2009-09-18
0.79,Ideal,I,VS1,EX,EX,GIA,2888,2009-09-19
1.54,Ideal,I,VS2,ID,ID,AGSL,9998,2009-09-20
0.81,Very Good,I,SI1,VG,VG,GIA,2701,2009-09-21
1.15,Ideal,F,VVS2,VG,VG,GIA,10555,2009-09-22
1.51,Very Good,F,VS2,EX,VG,GIA,13324,2009-09-23
1.2,Ideal,I,SI1,EX,VG,GIA,5476,2009-09-24
1.1,Very Good,H,SI1,VG,G,GIA,5276,2009-09-25
1.31,Very Good,I,VS1,VG,VG,GIA,6885,2009-09-26
1.03,Ideal,G,VS2,EX,EX,GIA,6981,2009-09-27
1.1,Very Good,I,SI1,G,EX,GIA,4545,2009-09-28
1.01,Very Good,F,VVS1,EX,EX,GIA,9782,2009-09-29
1.01,Very Good,E,SI1,VG,VG,GIA,5224,2009-09-30
1.01,Very Good,F,VS2,EX,EX,GIA,6714,2009-10-01
1.57,Ideal,G,VS2,EX,EX,GIA,14283,2009-10-02
1.01,Good,H,SI1,EX,EX,GIA,4563,2009-10-03
1.0,Ideal,E,VS2,EX,EX,GIA,7370,2009-10-04
1.21,Very Good,D,SI1,VG,EX,GIA,7597,2009-10-05
0.93,Very Good,E,VS2,G,VG,GIA,5140,2009-10-06
1.78,Very Good,D,VS2,VG,G,GIA,16697,2009-10-07
2.25,Ideal,E,VS2,EX,EX,GIA,32691,2009-10-08
0.93,Very Good,D,VS1,VG,VG,GIA,5862,2009-10-09
0.9,Very Good,H,VS2,G,G,GIA,4064,2009-10-10
1.01,Very Good,H,SI1,EX,VG,GIA,4682,2009-10-11
1.14,Good,H,SI1,VG,VG,GIA,5487,2009-10-12
1.05,Very Good,G,VS1,EX,VG,GIA,7010,2009-10-13
1.6,Ideal,G,VS2,ID,ID,AGSL,15000,2009-10-14
1.01,Good,E,SI1,VG,VG,GIA,4989,2009-10-15
1.01,Fair,D,SI1,EX,G,GIA,5122,2009-10-16
0.75,Very Good,F,VVS2,G,G,GIA,3551,2009-10-17
1.01,Very Good,D,SI1,VG,VG,GIA,5731,2009-10-18
2.03,Very Good,I,SI1,VG,EX,GIA,15101,2009-10-19
0.83,Good,E,SI1,EX,VG,GIA,3422,2009-10-20
1.02,Very Good,E,VS2,VG,VG,GIA,6366,2009-10-21
2.12,Ideal,H,VS2,ID,ID,AGSL,21846,2009-10-22
2.04,Ideal,I,SI1,EX,EX,GIA,16718,2009-10-23
0.75,Ideal,I,VVS2,ID,ID,AGSL,2782,2009-10-24
2.17,Ideal,F,SI1,VG,EX,GIA,22930,2009-10-25
1.0,Fair,F,VS1,EX,VG,GIA,6627,2009-10-26
1.0,Good,E,SI1,VG,EX,GIA,5408,2009-10-27
1.26,Very Good,F,VS1,EX,EX,GIA,11255,2009-10-28
1.31,Ideal,I,VS1,EX,EX,GIA,7751,2009-10-29
1.51,Very Good,G,VS2,VG,VG,GIA,11923,2009-10-30
1.02,Very Good,D,SI1,G,VG,GIA,5839,2009-10-31
1.01,Ideal,E,VVS2,VG,VG,GIA,10503,2009-11-01
0.91,Ideal,I,VS1,ID,ID,AGSL,4374,2009-11-02
0.79,Ideal,I,VS2,VG,EX,GIA,2712,2009-11-03
0.79,Good,E,SI1,VG,VG,GIA,2548,2009-11-04
1.02,Very Good,E,SI1,VG,VG,GIA,5667,2009-11-05
2.02,Very Good,F,SI1,VG,VG,GIA,17658,2009-11-06
1.06,Ideal,I,SI1,EX,EX,GIA,4745,2009-11-07
1.01,Very Good,F,VVS2,VG,G,GIA,7835,2009-11-08
0.9,Very Good,D,VS2,G,VG,GIA,4729,2009-11-09
2.15,Very Good,G,VS1,EX,EX,GIA,27558,2009-11-10
2.2,Very Good,F,VS2,EX,EX,GIA,27535,2009-11-11
1.22,Ideal,F,VS1,EX,EX,GIA,10422,2009-11-12
1.0,Fair,E,VVS2,VG,G,GIA,7553,2009-11-13
0.8,Very Good,H,SI1,EX,G,GIA,2670,2009-11-14
2.19,Very Good,F,VS2,VG,VG,GIA,29635,2009-11-15
1.32,Ideal,D,VVS2,EX,EX,GIA,16099,2009-11-16
1.51,Good,F,SI1,G,G,GIA,11056,2009-11-17
1.01,Good,E,SI1,VG,VG,GIA,5233,2009-11-18
2.74,Ideal,I,SI1,ID,ID,AGSL,24089,2009-11-19
1.02,Very Good,F,VVS1,VG,VG,GIA,8800,2009-11-20
2.04,Ideal,E,SI1,ID,ID,AGSL,20045,2009-11-21
1.02,Ideal,G,VS1,EX,VG,GIA,7038,2009-11-22
1.02,Very Good,G,VVS2,VG,EX,GIA,8252,2009-11-23
2.08,Ideal,H,SI1,EX,EX,GIA,18760,2009-11-24
1.02,Very Good,F,VVS2,EX,VG,GIA,9246,2009-11-25
1.06,Ideal,G,SI1,VG,VG,GIA,5870,2009-11-26
1.5,Very Good,F,VS2,VG,VG,GIA,12751,2009-11-27
1.57,Very Good,F,VVS1,EX,EX,GIA,21167,2009-11-28
2.34,Very Good,D,VVS2,VG,VG,GIA,57208,2009-11-29
1.2,Ideal,I,VS2,EX,EX,GIA,6303,2009-11-30
1.01,Very Good,D,SI1,VG,VG,GIA,5619,2009-12-01
1.32,Ideal,G,VS1,ID,ID,AGSL,11079,2009-12-02
1.15,Very Good,H,VS2,G,G,GIA,5831,2009-12-03
0.91,Very Good,D,SI1,VG,G,GIA,4585,2009-12-04
1.14,Ideal,I,SI1,VG,VG,GIA,4894,2009-12-05
1.13,Ideal,H,VVS2,EX,EX,GIA,7385,2009-12-06
2.08,Ideal,E,VS2,EX,EX,GIA,32149,2009-12-07
0.9,Good,E,VVS1,EX,VG,GIA,7214,2009-12-08
0.75,Ideal,H,SI1,VG,VG,GIA,2501,2009-12-09
2.66,Ideal,D,FL,EX,EX,GIA,96493,2009-12-10
1.56,Ideal,G,VS2,EX,EX,GIA,13543,2009-12-11
1.02,Very Good,G,VVS2,G,VG,GIA,8013,2009-12-12
1.02,Ideal,F,SI1,VG,EX,GIA,5795,2009-12-13
1.53,Very Good,G,VS1,VG,G,GIA,15008,2009-12-14
1.07,Very Good,F,IF,G,G,GIA,11019,2009-12-15
1.2,Very Good,G,SI1,VG,VG,GIA,6076,2009-12-16
0.9,Fair,F,SI1,VG,VG,GIA,3842,2009-12-17
1.23,Ideal,D,VVS2,EX,EX,GIA,13274,2009-12-18
1.01,Ideal,D,VVS2,ID,ID,AGSL,11442,2009-12-19
1.06,Signature-Ideal,F,VVS2,EX,EX,GIA,10927,2009-12-20
1.04,Ideal,G,VS2,EX,EX,GIA,6769,2009-12-21
1.51,Ideal,G,VS2,VG,EX,GIA,12947,2009-12-22
1.22,Very Good,H,SI1,G,VG,GIA,6350,2009-12-23
0.9,Very Good,E,SI1,VG,G,GIA,4265,2009-12-24
1.02,Ideal,F,VS2,EX,VG,GIA,6622,2009-12-25
0.8,Very Good,H,VS1,VG,VG,GIA,3144,2009-12-26
1.57,Ideal,E,VS2,EX,EX,GIA,17548,2009-12-27
2.08,Very Good,F,VS2,VG,G,GIA,30210,2009-12-28
0.9,Very Good,F,VS1,VG,VG,GIA,4671,2009-12-29
1.5,Ideal,H,VS1,ID,ID,AGSL,12055,2009-12-30
2.01,Very Good,H,SI1,VG,G,GIA,18149,2009-12-31
1.28,Ideal,G,SI1,EX,EX,GIA,7415,2010-01-01
1.52,Very Good,H,VS1,VG,VG,GIA,12877,2010-01-02
1.0,Good,H,SI1,VG,VG,GIA,4702,2010-01-03
2.37,Ideal,H,VS2,EX,VG,GIA,28063,2010-01-04
2.02,Good,E,VS1,EX,VG,GIA,29334,2010-01-05
1.21,Ideal,F,VS1,ID,ID,AGSL,11045,2010-01-06
1.54,Good,H,VS1,EX,VG,GIA,10669,2010-01-07
1.5,Very Good,H,VS2,VG,G,GIA,9706,2010-01-08
0.78,Very Good,E,VVS1,EX,VG,GIA,4904,2010-01-09
2.2,Very Good,I,VS1,EX,EX,AGSL,19671,2010-01-10
1.14,Ideal,G,IF,EX,EX,GIA,9948,2010-01-11
1.33,Ideal,G,VVS2,EX,EX,GIA,12345,2010-01-12
1.04,Ideal,D,VVS2,EX,EX,GIA,11367,2010-01-13
2.0,Very Good,I,SI1,VG,G,GIA,15381,2010-01-14
0.9,Very Good,D,VVS2,EX,VG,GIA,5423,2010-01-15
1.51,Fair,G,SI1,G,VG,GIA,8681,2010-01-16
1.23,Very Good,G,VVS1,EX,EX,GIA,10477,2010-01-17
1.53,Ideal,I,SI1,VG,VG,GIA,8971,2010-01-18
1.04,Very Good,F,SI1,G,VG,GIA,5290,2010-01-19
1.2,Very Good,H,SI1,EX,G,GIA,5630,2010-01-20
2.13,Ideal,D,IF,ID,ID,AGSL,70114,2010-01-21
0.9,Good,H,VS1,VG,VG,GIA,4072,2010-01-22
1.09,Ideal,E,VS2,EX,EX,GIA,7978,2010-01-23
1.27,Ideal,F,VVS1,VG,VG,GIA,13279,2010-01-24
1.01,Good,G,SI1,VG,G,GIA,4884,2010-01-25
1.13,Very Good,G,VVS2,VG,VG,GIA,9788,2010-01-26
1.01,Very Good,I,VS1,EX,EX,GIA,5041,2010-01-27
2.21,Ideal,G,VS2,EX,EX,GIA,30440,2010-01-28
2.03,Ideal,I,VVS1,ID,ID,AGSL,21437,2010-01-29
2.01,Very Good,I,VS2,VG,VG,GIA,15675,2010-01-30
2.13,Very Good,H,SI1,VG,VG,GIA,17601,2010-01-31
1.5,Good,F,SI1,G,G,GIA,10755,2010-02-01
1.27,Ideal,I,VS1,G,VG,GIA,6396,2010-02-02
1.07,Ideal,F,IF,EX,VG,GIA,11327,2010-02-03
2.14,Good,G,SI1,VG,G,GIA,20853,2010-02-04
1.01,Very Good,H,SI1,EX,EX,AGSL,4727,2010-02-05
1.0,Ideal,F,SI1,VG,EX,GIA,5312,2010-02-06
1.52,Very Good,E,SI1,EX,EX,GIA,12275,2010-02-07
1.19,Ideal,G,VS1,ID,ID,AGSL,8034,2010-02-08
1.03,Ideal,F,VS1,ID,ID,AGSL,7856,2010-02-09
1.01,Good,F,SI1,EX,VG,GIA,5078,2010-02-10
0.9,Very Good,D,SI1,G,G,GIA,4105,2010-02-11
2.02,Ideal,H,VS1,VG,VG,GIA,20885,2010-02-12
1.22,Very Good,G,VS2,VG,EX,GIA,8340,2010-02-13
1.13,Ideal,G,SI1,EX,VG,GIA,5759,2010-02-14
1.01,Ideal,F,SI1,EX,EX,GIA,5870,2010-02-15
1.04,Ideal,G,VS2,EX,EX,GIA,7044,2010-02-16
0.76,Very Good,H,IF,EX,EX,GIA,3367,2010-02-17
0.93,Ideal,I,SI1,EX,EX,GIA,3772,2010-02-18
0.9,Ideal,H,VS2,VG,VG,GIA,4369,2010-02-19
1.22,Very Good,G,VVS2,EX,EX,GIA,9919,2010-02-20
1.16,Very Good,D,SI1,EX,EX,GIA,5695,2010-02-21
2.5,Very Good,I,VS2,VG,G,GIA,20894,2010-02-22
1.71,Good,I,VS2,G,G,GIA,11250,2010-02-23
1.29,Ideal,H,SI1,ID,ID,AGSL,7036,2010-02-24
1.03,Ideal,G,VS1,ID,ID,AGSL,6913,2010-02-25
0.9,Ideal,D,SI1,EX,EX,GIA,5656,2010-02-26
2.32,Very Good,E,VVS2,G,EX,GIA,47800,2010-02-27
1.51,Good,I,VS2,VG,G,GIA,8951,2010-02-28
2.01,Good,E,VVS2,EX,G,GIA,34255,2010-03-01
1.0,Very Good,F,SI1,EX,VG,GIA,5528,2010-03-02
1.29,Ideal,G,VS2,EX,VG,AGSL,8858,2010-03-03
2.23,Ideal,H,VVS1,EX,EX,GIA,28811,2010-03-04
1.2,Very Good,F,VS1,VG,VG,GIA,9574,2010-03-05
0.78,Ideal,H,SI1,VG,EX,GIA,2622,2010-03-06
1.0,Fair,H,SI1,G,VG,GIA,4269,2010-03-07
0.92,Very Good,E,VS2,EX,EX,GIA,5044,2010-03-08
1.05,Good,H,SI1,G,G,GIA,4785,2010-03-09
1.1,Very Good,H,SI1,VG,EX,GIA,4938,2010-03-10
1.23,Very Good,G,VVS1,G,VG,GIA,10435,2010-03-11
0.76,Good,G,VS1,VG,G,AGSL,3121,2010-03-12
1.21,Ideal,I,VS1,ID,ID,AGSL,7111,2010-03-13
2.01,Ideal,H,VS2,ID,ID,AGSL,20296,2010-03-14
1.02,Very Good,E,VS2,VG,G,GIA,6612,2010-03-15
1.04,Good,G,SI1,G,G,GIA,4768,2010-03-16
0.76,Ideal,G,VS2,EX,EX,GIA,3114,2010-03-17
1.01,Ideal,F,VS1,VG,VG,GIA,7870,2010-03-18
1.51,Ideal,D,SI1,EX,EX,GIA,13588,2010-03-19
1.22,Ideal,F,VVS2,VG,EX,GIA,10409,2010-03-20
2.02,Very Good,E,VS2,VG,EX,GIA,28739,2010-03-21
1.09,Ideal,G,VS1,EX,EX,GIA,7992,2010-03-22
0.91,Very Good,D,VS2,VG,VG,GIA,5134,2010-03-23
1.0,Fair,E,VS2,VG,G,GIA,6268,2010-03-24
0.9,Very Good,I,VS2,G,G,GIA,3709,2010-03-25
1.32,Very Good,I,VS1,VG,VG,GIA,6793,2010-03-26
2.01,Good,H,VS2,G,G,GIA,18341,2010-03-27
1.01,Ideal,I,SI1,VG,VG,GIA,5020,2010-03-28
1.09,Signature-Ideal,G,VS2,ID,ID,AGSL,7709,2010-03-29
1.0,Very Good,E,SI1,VG,VG,GIA,5247,2010-03-30
0.91,Very Good,H,VVS2,VG,VG,GIA,4143,2010-03-31
1.55,Signature-Ideal,I,VS2,ID,ID,AGSL,11574,2010-04-01
1.25,Ideal,G,VVS2,ID,ID,AGSL,10983,2010-04-02
1.03,Ideal,G,VVS2,EX,EX,GIA,8277,2010-04-03
0.77,Ideal,D,SI1,ID,ID,AGSL,3345,2010-04-04
2.01,Ideal,H,SI1,EX,VG,GIA,18252,2010-04-05
0.78,Ideal,H,VVS2,EX,EX,GIA,3581,2010-04-06
1.5,Signature-Ideal,G,VVS2,ID,ID,AGSL,17176,2010-04-07
1.7,Very Good,H,SI1,VG,VG,GIA,11560,2010-04-08
1.15,Ideal,H,SI1,VG,VG,GIA,5529,2010-04-09
0.84,Ideal,I,VS1,EX,EX,GIA,2898,2010-04-10
1.07,Very Good,H,VS2,G,G,GIA,5586,2010-04-11
1.5,Ideal,E,VS2,ID,ID,AGSL,14618,2010-04-12
1.0,Very Good,G,VVS1,EX,G,GIA,7872,2010-04-13
1.01,Good,F,VS2,G,VG,GIA,5700,2010-04-14
1.14,Signature-Ideal,H,SI1,ID,ID,AGSL,7079,2010-04-15
1.28,Ideal,F,VS1,EX,EX,GIA,12061,2010-04-16
0.91,Very Good,G,VVS1,EX,EX,GIA,4680,2010-04-17
1.22,Ideal,F,VS2,VG,VG,GIA,8418,2010-04-18
0.91,Very Good,H,SI1,EX,VG,GIA,3998,2010-04-19
1.01,Very Good,H,VS2,ID,ID,AGSL,5393,2010-04-20
1.06,Signature-Ideal,G,VS1,ID,ID,AGSL,8093,2010-04-21
1.26,Ideal,F,VS2,EX,EX,GIA,10709,2010-04-22
0.9,Very Good,E,VS2,VG,EX,GIA,4920,2010-04-23
0.92,Signature-Ideal,I,SI1,ID,ID,AGSL,4457,2010-04-24
2.01,Very Good,G,VS1,EX,EX,GIA,24784,2010-04-25
1.0,Very Good,G,VVS2,EX,EX,GIA,7215,2010-04-26
1.5,Ideal,H,VVS2,ID,ID,AGSL,12187,2010-04-27
1.2,Very Good,H,SI1,VG,VG,GIA,6377,2010-04-28
2.03,Ideal,F,VS2,EX,EX,GIA,31773,2010-04-29
2.07,Very Good,I,VS2,VG,EX,GIA,16378,2010-04-30
1.01,Very Good,F,VS1,VG,VG,GIA,6914,2010-05-01
0.79,Very Good,E,VVS2,VG,VG,GIA,4585,2010-05-02
1.7,Good,G,VS2,VG,G,GIA,15087,2010-05-03
0.83,Very Good,H,VS2,G,EX,GIA,3276,2010-05-04
1.09,Ideal,G,VS2,EX,EX,GIA,7227,2010-05-05
0.9,Good,H,SI1,G,VG,GIA,3238,2010-05-06
0.9,Good,D,VS2,VG,G,GIA,4508,2010-05-07
1.33,Ideal,I,VS2,ID,ID,AGSL,7752,2010-05-08
1.51,Ideal,G,VS2,VG,EX,GIA,12913,2010-05-09
1.0,Very Good,H,SI1,EX,EX,GIA,5021,2010-05-10
2.02,Good,H,VS1,EX,EX,GIA,19829,2010-05-11
0.81,Very Good,E,SI1,VG,G,GIA,3643,2010-05-12
1.03,Ideal,D,VS1,EX,EX,GIA,9192,2010-05-13
0.75,Ideal,E,SI1,G,VG,GIA,3049,2010-05-14
1.06,Good,H,SI1,VG,VG,GIA,4828,2010-05-15
0.86,Ideal,F,VS2,EX,EX,GIA,4398,2010-05-16
0.91,Fair,F,SI1,G,G,GIA,3884,2010-05-17
1.01,Good,F,SI1,EX,VG,GIA,5107,2010-05-18
2.09,Ideal,H,VS1,EX,EX,GIA,23602,2010-05-19
1.23,Very Good,F,VVS2,G,EX,GIA,11110,2010-05-20
1.35,Very Good,H,VVS2,EX,ID,AGSL,8644,2010-05-21
1.25,Ideal,E,VVS2,ID,ID,AGSL,12981,2010-05-22
2.02,Very Good,G,SI1,VG,EX,GIA,19442,2010-05-23
1.01,Very Good,D,SI1,VG,G,GIA,5670,2010-05-24
1.52,Ideal,H,SI1,EX,VG,GIA,10239,2010-05-25
1.53,Very Good,H,SI1,G,EX,GIA,9332,2010-05-26
2.01,Ideal,G,VS1,VG,VG,GIA,26659,2010-05-27
1.08,Ideal,H,SI1,ID,ID,AGSL,5558,2010-05-28
1.23,Ideal,I,SI1,EX,EX,GIA,6183,2010-05-29
1.23,Very Good,F,VS1,G,VG,GIA,9694,2010-05-30
1.02,Very Good,G,IF,VG,VG,GIA,8538,2010-05-31
1.02,Very Good,F,VVS2,EX,EX,GIA,9728,2010-06-01
1.13,Ideal,G,VS1,ID,ID,AGSL,7808,2010-06-02
2.43,Ideal,E,SI1,EX,EX,GIA,30108,2010-06-03
1.03,Signature-Ideal,D,VS1,EX,EX,GIA,10607,2010-06-04
0.8,Very Good,H,VVS1,ID,ID,AGSL,3737,2010-06-05
1.09,Ideal,D,VVS2,EX,EX,GIA,12185,2010-06-06
1.0,Very Good,D,SI1,EX,VG,GIA,6040,2010-06-07
1.0,Ideal,G,VS2,VG,VG,GIA,5887,2010-06-08
1.33,Signature-Ideal,F,VVS2,EX,EX,GIA,15031,2010-06-09
0.9,Very Good,G,VS2,VG,VG,GIA,4173,2010-06-10
1.05,Ideal,G,VS1,ID,ID,AGSL,7317,2010-06-11
1.04,Good,E,VVS2,VG,G,GIA,9038,2010-06-12
1.04,Very Good,F,VS1,VG,VG,GIA,8090,2010-06-13
2.01,Ideal,G,SI1,ID,ID,AGSL,20934,2010-06-14
1.51,Good,I,VS2,EX,G,GIA,8939,2010-06-15
0.9,Fair,D,VS1,VG,G,GIA,4958,2010-06-16
1.12,Ideal,G,VS1,ID,ID,AGSL,7970,2010-06-17
0.91,Very Good,F,SI1,VG,VG,GIA,3963,2010-06-18
1.05,Ideal,G,VS1,EX,VG,GIA,7571,2010-06-19
2.01,Ideal,E,SI1,EX,EX,GIA,23217,2010-06-20
0.9,Fair,E,SI1,VG,VG,GIA,3743,2010-06-21
2.3,Very Good,E,VS1,EX,EX,GIA,45752,2010-06-22
0.85,Very Good,D,VS2,VG,VG,GIA,4133,2010-06-23
1.25,Very Good,I,VS2,G,VG,GIA,5956,2010-06-24
1.59,Ideal,I,SI1,EX,EX,GIA,9209,2010-06-25
1.2,Ideal,D,VVS2,VG,EX,GIA,13165,2010-06-26
1.21,Very Good,G,VVS2,EX,EX,GIA,9878,2010-06-27
1.05,Very Good,D,VS2,G,G,GIA,7794,2010-06-28
1.06,Ideal,G,VS1,EX,EX,GIA,7594,2010-06-29
1.02,Ideal,F,VS2,EX,VG,GIA,6645,2010-06-30
1.01,Very Good,E,VVS2,VG,EX,GIA,8401,2010-07-01
1.01,Very Good,F,VVS1,EX,VG,GIA,10019,2010-07-02
0.82,Ideal,F,VS2,ID,ID,AGSL,3913,2010-07-03
1.03,Very Good,G,SI1,G,VG,GIA,4997,2010-07-04
0.9,Very Good,H,SI1,EX,EX,GIA,3770,2010-07-05
0.91,Very Good,I,VS2,G,VG,GIA,3633,2010-07-06
1.51,Fair,I,VS1,G,G,GIA,8359,2010-07-07
1.01,Good,D,SI1,VG,VG,GIA,5541,2010-07-08
